timestamp,economy,pillar,section_name,question_number,answer,reasoning,confidence,source_1_title,source_1_url,source_2_title,source_2_url
2025-11-04T18:40:18.508445+00:00,Norway,Legal_Frameworks,Childcare,4.2.1.a,Yes,"Norwegian law provides financial support: universal child benefit (barnetrygd) and a cash-for-care allowance (kontantstøtte) for parents who do not use full-time public childcare, plus other supplements/subsidies. ",0.9,Child benefit (barnetrygd) – NAV,https://www.nav.no/barnetrygd/en,Cash-for-care benefit (kontantstøtte) – NAV,https://www.nav.no/kontantstotte/en
2025-11-04T18:40:25.827302+00:00,Norway,Legal_Frameworks,Childcare,4.2.1.b,Yes,Norwegian tax law provides a parental deduction (foreldrefradrag) allowing deductions for documented childcare/pass expenses for children (generally up to age 11).,0.9,Kostnader til barnepass (foreldrefradrag) - Skatteetaten,https://www.skatteetaten.no/person/skatt/hjelp-til-riktig-skatt/familie-og-helse/barn/foreldrefradrag/,Informasjon for foreldre - Skatteetaten (fradrag for barnepassutgifter),https://www.skatteetaten.no/person/skatt/hjelp-til-riktig-skatt/familie-og-helse/barn/betalt-barnepass/informasjon-for-foreldre/
2025-11-04T18:40:35.148129+00:00,Norway,Legal_Frameworks,Childcare,4.2.2.b,Yes,"Norwegian law provides tax deductions/exemptions for private family day-care and childminders (standard deductions, expense allowances) and allows deductions for childcare expenses reported by centres.",0.9,Family day care centres and tax - Norwegian Tax Administration,https://www.skatteetaten.no/en/business-and-organisation/reporting-and-industries/industries-special-regulations/family-day-care-centres-and-tax/,Childcare – Expense allowance / Parental allowance - Norwegian Tax Administration,https://www.skatteetaten.no/en/person/taxes/get-the-taxes-right/family-and-health/children/
2025-11-04T18:40:45.897599+00:00,Norway,Legal_Frameworks,Childcare,4.3.1.a,Yes,The Kindergarten Act and national regulations set minimum staffing: at least one staff per three children under age three (0–2) in licensed kindergartens. Municipal dispensations limited. ,0.9,Act relating to kindergartens (Kindergarten Act) — Lovdata,https://lovdata.no/dokument/NLE/lov/2005-06-17-64/KAPITTEL_4#%C2%A719,Status for bemanningsnorm og pedagognorm i barnehagene — Utdanningsdirektoratet (Udir),https://www.udir.no/tall-og-forskning/publikasjoner/utdanningsspeilet/utdanningsspeilet-2022/barnehage/status-for-bemanningsnorm-og-pedagognorm-i-barnehagene/
2025-11-04T18:39:28.418498+00:00,Norway,Legal_Frameworks,Parenthood,3.1.1,,Mother must take the last 3 weeks before birth and the first 6 weeks after birth (9 calendar weeks = 63 days) as maternity leave reserved for the mother in Norway.,0.6,Paid and unpaid leave - Altinn (Norway),https://info.altinn.no/en/start-and-run-business/working-conditions/print-leave-of-absence-and-holidays/paid-and-unpaid-leave/,Parental leave in Norway? What you should know - Tekna,https://www.tekna.no/en/salary-and-negotiations/employment-law/parental-leave-in-norway--what-you-should-know/
2025-11-04T18:39:50.370477+00:00,Norway,Legal_Frameworks,Parenthood,3.3.1,,Fedrekvote (paternity quota) is 15 weeks reserved for the father when parents choose 100% coverage: 15 weeks × 7 days = 105 calendar days.,0.9,Folketrygdloven §14-12 — Lovdata,https://lovdata.no/lov/1997-02-28-19/%C2%A714-12,Fedrekvote (description and weeks/days) — NAV,https://www.nav.no/no/nav-og-samfunn/statistikk/familie-statistikk/relatert-informasjon/om-statistikken-foreldrepenger-ved-fodsel/4.begreper-kjennemerker-og-grupperinger
2025-11-04T18:40:02.961061+00:00,Norway,Legal_Frameworks,Parenthood,3.3.2,,Norway’s non-transferable father’s quota (fedrekvote) is 15 weeks (15×7=105 calendar days) for parents choosing 100% compensation; 80% option gives 19 weeks (95 days).,0.9,Fedrekvoten (NAV article),https://arbeidogvelferd.nav.no/article/2022/06/Fedre-mer-forn%C3%B8yd-enn-m%C3%B8dre-%E2%80%93-syn-p%C3%A5-og-bruk-av-foreldrepengeordningen,How many fathers take paternity leave? (Statistics Norway),https://www.ssb.no/en/befolkning/likestilling/statistikk/indikatorer-for-kjonnslikestilling-i-kommunene/Articles%20for%20Indicators%20for%20gender%20equality%20in%20municipalities/how-many-fathers-take-paternity-leave
2025-11-04T18:40:11.348635+00:00,Norway,Legal_Frameworks,Parenthood,3.4,Yes,Norwegian Working Environment Act prohibits dismissal on grounds of pregnancy and protects employees during pregnancy and for specified parental-leave periods unless employer proves highly probable other grounds.,0.9,Working Environment Act §15-9 — Protection against dismissal during pregnancy or following the birth or adoption of a child (Arbeidstilsynet),https://prod.arbeidstilsynet.no/en/laws-and-regulations/laws/the-working-environment-act/17/section15-9/,"Act relating to the working environment, working hours and employment protection (Working Environment Act) — Section 15-9 (Lovdata)",https://lovdata.no/dokument/NLE/lov/2005-06-17-62/%C2%A715-9
2025-11-04T18:38:17.795715+00:00,Norway,Legal_Frameworks,Pay,2.1,Yes,"Norway’s Equality and Anti-Discrimination Act §34 obliges employers to provide equal pay for the same work or work of equal value, with objective criteria (competence, responsibility, effort, working conditions) defining equal value.",0.9,Equality and Anti-Discrimination Act §34 (Lovdata),https://lovdata.no/dokument/NLE/lov/2017-06-16-51/%C2%A734,Guidance on pay mapping and equal pay (NHO/arbinn),https://arbinn.nho.no/arbeidsliv/diskriminering/likelonnskartlegging-verktoy-steg-for-steg/
2025-11-04T18:38:25.197435+00:00,Norway,Legal_Frameworks,Pay,2.2.2,No,"Norwegian law does not permit general restrictions/prohibitions on women working at night; night-work rules apply by health/safety and special protections (e.g., pregnancy), not gender-based bans.",0.9,Working Environment Act (Arbeidsmiljøloven) — Lovdata,https://lovdata.no/dokument/NL/lov/2005-06-17-62,Night work — Norwegian Labour Inspection Authority (Arbeidstilsynet),https://www.arbeidstilsynet.no/en/working-conditions/work-time/night-work/
