timestamp,economy,pillar,section_name,question_number,answer,reasoning,confidence,source_1_title,source_1_url,source_2_title,source_2_url
2025-11-04T18:40:18.508445+00:00,Noruega,Marcos_Legales,Cuidados_inf infantiles,4.2.1.a,Sí,"La legislación noruega proporciona apoyo financiero: prestación universal por hijo (barnetrygd) y una asignación en efectivo por cuidado (kontantstøtte) para padres que no utilizan cuidado infantil público a tiempo completo, además de otros suplementos/subsidios.",0.9,Prestación por hijo (barnetrygd) – NAV,https://www.nav.no/barnetrygd/en,Asignación en efectivo por cuidado (kontantstøtte) – NAV,https://www.nav.no/kontantstotte/en
2025-11-04T18:40:25.827302+00:00,Noruega,Marcos_Legales,Cuidado infantil,4.2.1.b,Sí,La legislación fiscal noruega prevé una deducción parental (foreldrefradrag) que permite deducciones por gastos documentados de cuidado/pago de guardería para niños (generalmente hasta los 11 años).,0.9,Costes de cuidado infantil (foreldrefradrag) - Skatteetaten,https://www.skatteetaten.no/person/skatt/hjelp-til-riktig-skatt/familie-og-helse/barn/foreldrefradrag/,Información para padres - Skatteetaten (deducción por gastos de cuidado infantil),https://www.skatteetaten.no/person/skatt/hjelp-til-riktig-skatt/familie-og-helse/barn/betalt-barnepass/informasjon-for-foreldre/
2025-11-04T18:40:35.148129+00:00,Noruega,Marcos_Legales,Atención infantil,4.2.2.b,Sí,"La legislación noruega ofrece deducciones/impuestos exentos para el cuidado infantil familiar privado y las cuidadoras infantiles (deducciones estándar, asignaciones por gastos) y permite deducciones por gastos de cuidado infantil declarados por los centros.",0.9,Centros de cuidado familiar y impuestos - Administración Tributaria Noruega,https://www.skatteetaten.no/en/business-and-organisation/reporting-and-industries/industries-special-regulations/family-day-care-centres-and-tax/,Cuidado infantil – Asignación por gastos / Asignación parental - Administración Tributaria Noruega,https://www.skatteetaten.no/en/person/taxes/get-the-taxes-right/family-and-health/children/
2025-11-04T18:40:45.897599+00:00,Noruega,Marcos_Legales,Cuidado infantil,4.3.1.a,Sí,La Ley de jardines de infancia y las regulaciones nacionales establecen personal mínimo: al menos un miembro del personal por cada tres niños menores de tres años (0–2) en jardines de infancia autorizados. Las dispensas municipales son limitadas.,0.9,Ley relativa a los jardines de infancia (Ley de Jardines de Infancia) — Lovdata,https://lovdata.no/dokument/NLE/lov/2005-06-17-64/KAPITTEL_4#%C2%A719,Situación de la norma de personal y la norma pedagógica en los jardines de infancia — Dirección de Educación (Udir),https://www.udir.no/tall-og-forskning/publikasjoner/utdanningsspeilet/utdanningsspeilet-2022/barnehage/status-for-bemanningsnorm-og-pedagognorm-i-barnehagene/
2025-11-04T18:39:28.418498+00:00,Noruega,Marcos_Jurídicos,Parentalidad,3.1.1,,La madre debe tomar las últimas 3 semanas antes del parto y las primeras 6 semanas después del parto (9 semanas calendario = 63 días) como permiso de maternidad reservado para la madre en Noruega.,0.6,Permisos remunerados y no remunerados - Altinn (Noruega),https://info.altinn.no/en/start-and-run-business/working-conditions/print-leave-of-absence-and-holidays/paid-and-unpaid-leave/,Permiso parental en Noruega: lo que debe saber - Tekna,https://www.tekna.no/en/salary-and-negotiations/employment-law/parental-leave-in-norway--what-you-should-know/
2025-11-04T18:39:50.370477+00:00,Noruega,Marcos_Legales,Paternidad,3.3.1,,Fedrekvote (cuota paternal) es de 15 semanas reservadas para el padre cuando los progenitores eligen cobertura del 100 %: 15 semanas × 7 días = 105 días naturales.,0.9,Ley Folketrygdloven §14-12 — Lovdata,https://lovdata.no/lov/1997-02-28-19/%C2%A714-12,Cuota paternal (descripción y semanas/días) — NAV,https://www.nav.no/no/nav-og-samfunn/statistikk/familie-statistikk/relatert-informasjon/om-statistikken-foreldrepenger-ved-fodsel/4.begreper-kjennemerker-og-grupperinger
2025-11-04T18:40:02.961061+00:00,Noruega,Marcos_Legales,Parentalidad,3.3.2,,La cuota no transferible para padres (fedrekvote) en Noruega es de 15 semanas (15×7=105 días calendario) para las familias que optan por una compensación del 100%; la opción del 80% corresponde a 19 semanas (95 días).,0.9,Fedrekvoten (artículo de NAV),https://arbeidogvelferd.nav.no/article/2022/06/Fedre-mer-forn%C3%B8yd-enn-m%C3%B8dre-%E2%80%93-syn-p%C3%A5-og-bruk-av-foreldrepengeordningen,¿Cuántos padres toman permiso de paternidad? (Statistics Norway),https://www.ssb.no/en/befolkning/likestilling/statistikk/indikatorer-for-kjonnslikestilling-i-kommunene/Articles%20for%20Indicators%20for%20gender%20equality%20in%20municipalities/how-many-fathers-take-paternity-leave
2025-11-04T18:40:11.348635+00:00,Noruega,Marcos legales,Parentalidad,3.4,Sí,"La Ley noruega del entorno laboral prohíbe el despido por motivos de embarazo y protege a los empleados durante el embarazo y durante los periodos de permiso parental especificados, a menos que el empleador pruebe que existen otras causas altamente probables.",0.9,Ley del entorno laboral §15-9 — Protección contra el despido durante el embarazo o tras el nacimiento o adopción de un hijo (Arbeidstilsynet),https://prod.arbeidstilsynet.no/en/laws-and-regulations/laws/the-working-environment-act/17/section15-9/,"Ley relativa al entorno laboral, la jornada laboral y la protección del empleo (Ley del entorno laboral) — Sección 15-9 (Lovdata)",https://lovdata.no/dokument/NLE/lov/2005-06-17-62/%C2%A715-9
2025-11-04T18:38:17.795715+00:00,Noruega,Marcos_Legales,Remuneración,2.1,Sí,"La Ley de Igualdad y No Discriminación de Noruega §34 obliga a los empleadores a proporcionar igualdad de remuneración por el mismo trabajo o por trabajo de igual valor, estableciendo criterios objetivos (competencia, responsabilidad, esfuerzo, condiciones de trabajo) que definen el valor igual.",0.9,Ley de Igualdad y No Discriminación §34 (Lovdata),https://lovdata.no/dokument/NLE/lov/2017-06-16-51/%C2%A734,Guía sobre el mapeo de salarios y la igualdad salarial (NHO/arbinn),https://arbinn.nho.no/arbeidsliv/diskriminering/likelonnskartlegging-verktoy-steg-for-steg/
2025-11-04T18:38:25.197435+00:00,Noruega,Marcos_Legales,Pago,2.2.2,No,"La legislación noruega no permite restricciones/prohibiciones generales que impidan a las mujeres trabajar por la noche; las normas sobre trabajo nocturno se aplican por motivos de salud/seguridad y protecciones especiales (p. ej., embarazo), no por prohibiciones basadas en el sexo.",0.9,Ley del entorno de trabajo (Arbeidsmiljøloven) — Lovdata,https://lovdata.no/dokument/NL/lov/2005-06-17-62,Trabajo nocturno — Autoridad Noruega de Inspección Laboral (Arbeidstilsynet),https://www.arbeidstilsynet.no/en/working-conditions/work-time/night-work/
2025-11-04T18:38:41.169612+00:00,Noruega,Marcos legales,Pago,2.3,Sí,"La ley noruega prohíbe la discriminación por género; las mujeres pueden trabajar en los mismos empleos peligrosos que los hombres, sujetas a las normas de seguridad en el lugar de trabajo y a protecciones especiales para mujeres embarazadas o en periodo de lactancia y otros grupos vulnerables.",0.9,Ley del entorno de trabajo (inglés) - Autoridad Noruega de Inspección Laboral,https://www.arbeidstilsynet.no/en/laws-and-regulations/laws/the-working-environment-act/,Ley sobre igualdad y prohibición de la discriminación (Ley de Igualdad y Antidiscriminación) - Lovdata,https://lovdata.no/dokument/NLE/lov/2017-06-16-51
2025-11-04T18:38:58.616567+00:00,Noruega,Marcos legales,Pago,2.4.8,No,La ley noruega prohíbe la discriminación por sexo en todos los sectores (Ley de Igualdad y Prohibición de la Discriminación §6); las autoridades públicas no pueden restringir ni prohibir legalmente que las mujeres trabajen en sectores económicos concretos.,0.9,Ley relativa a la igualdad y a la prohibición de la discriminación (Ley de Igualdad y Antidiscriminación) - Lovdata,https://lovdata.no/dokument/NLE/lov/2017-06-16-51/%C2%A76,La Constitución del Reino de Noruega - Lovdata (derechos humanos y obligaciones del Estado),https://lovdata.no/dokument/NLE/lov/1814-05-17
2025-11-04T18:41:03.480405+00:00,Noruega,Marcos_legales,Pensión,5.1.1,,La pensión tradicional completa/garantizada de Noruega se paga a los 67 años; la alderspensjon históricamente se tomaba a los 67 (aunque las reformas introducen una edad de pensión 'normada' en ascenso para cohortes más jóvenes).,0.7,Alderspensjon – NAV (resumen),https://www.nav.no/satser/nn,Et mer sosialt og rettferdig pensjonssystem – regjeringen.no (información sobre la edad de jubilación y las reformas),https://www.regjeringen.no/no/aktuelt/et-mer-sosialt-og-rettferdig-pensjonssystem/id3018933/
